family,symbol,time,equityUsd
momentum,ETH,2026-05-25T00:00:00.000Z,40
momentum,ETH,2026-05-26T00:00:00.000Z,40
momentum,ETH,2026-05-27T00:00:00.000Z,40
momentum,ETH,2026-05-28T00:00:00.000Z,40
momentum,ETH,2026-05-29T00:00:00.000Z,40
momentum,ETH,2026-05-30T00:00:00.000Z,40
momentum,ETH,2026-05-31T00:00:00.000Z,40
momentum,ETH,2026-06-01T00:00:00.000Z,40
momentum,ETH,2026-06-02T00:00:00.000Z,40
momentum,ETH,2026-06-03T00:00:00.000Z,40
momentum,ETH,2026-06-04T00:00:00.000Z,40
momentum,ETH,2026-06-05T00:00:00.000Z,40
momentum,ETH,2026-06-06T00:00:00.000Z,40
momentum,ETH,2026-06-07T00:00:00.000Z,40
momentum,ETH,2026-06-08T00:00:00.000Z,40
momentum,ETH,2026-06-09T00:00:00.000Z,40
momentum,ETH,2026-06-10T00:00:00.000Z,40
momentum,ETH,2026-06-11T00:00:00.000Z,40
momentum,ETH,2026-06-12T00:00:00.000Z,39.9187
momentum,ETH,2026-06-13T00:00:00.000Z,40.0902
momentum,ETH,2026-06-14T00:00:00.000Z,40.595
momentum,ETH,2026-06-15T00:00:00.000Z,41.3948
momentum,ETH,2026-06-16T00:00:00.000Z,41.3429
momentum,ETH,2026-06-17T00:00:00.000Z,40.8596
momentum,ETH,2026-06-18T00:00:00.000Z,40.2105
rs_continuation,SOL,2026-05-20T00:00:00.000Z,40
rs_continuation,SOL,2026-05-21T00:00:00.000Z,40
rs_continuation,SOL,2026-05-22T00:00:00.000Z,40
rs_continuation,SOL,2026-05-23T00:00:00.000Z,40
rs_continuation,SOL,2026-05-24T00:00:00.000Z,40
rs_continuation,SOL,2026-05-25T00:00:00.000Z,40
rs_continuation,SOL,2026-05-26T00:00:00.000Z,40
rs_continuation,SOL,2026-05-27T00:00:00.000Z,40
rs_continuation,SOL,2026-05-28T00:00:00.000Z,40
rs_continuation,SOL,2026-05-29T00:00:00.000Z,40
rs_continuation,SOL,2026-05-30T00:00:00.000Z,40
rs_continuation,SOL,2026-05-31T00:00:00.000Z,40
rs_continuation,SOL,2026-06-01T00:00:00.000Z,40
rs_continuation,SOL,2026-06-02T00:00:00.000Z,40
rs_continuation,SOL,2026-06-03T00:00:00.000Z,40
rs_continuation,SOL,2026-06-04T00:00:00.000Z,40
rs_continuation,SOL,2026-06-05T00:00:00.000Z,40
rs_continuation,SOL,2026-06-06T00:00:00.000Z,40
rs_continuation,SOL,2026-06-07T00:00:00.000Z,40
rs_continuation,SOL,2026-06-08T00:00:00.000Z,40
rs_continuation,SOL,2026-06-09T00:00:00.000Z,40
rs_continuation,SOL,2026-06-10T00:00:00.000Z,40
rs_continuation,SOL,2026-06-11T00:00:00.000Z,40
rs_continuation,SOL,2026-06-12T00:00:00.000Z,40
rs_continuation,SOL,2026-06-13T00:00:00.000Z,40
rs_continuation,SOL,2026-06-14T00:00:00.000Z,40
rs_continuation,SOL,2026-06-15T00:00:00.000Z,40
rs_continuation,SOL,2026-06-16T00:00:00.000Z,40
rs_continuation,SOL,2026-06-17T00:00:00.000Z,40
rs_continuation,SOL,2026-06-18T00:00:00.000Z,40
momentum,SOL,2026-05-20T00:00:00.000Z,40
momentum,SOL,2026-05-21T00:00:00.000Z,40
momentum,SOL,2026-05-22T00:00:00.000Z,40
momentum,SOL,2026-05-23T00:00:00.000Z,40
momentum,SOL,2026-05-24T00:00:00.000Z,40
momentum,SOL,2026-05-25T00:00:00.000Z,40
momentum,SOL,2026-05-26T00:00:00.000Z,40
momentum,SOL,2026-05-27T00:00:00.000Z,40
momentum,SOL,2026-05-28T00:00:00.000Z,40
momentum,SOL,2026-05-29T00:00:00.000Z,40
momentum,SOL,2026-05-30T00:00:00.000Z,40
momentum,SOL,2026-05-31T00:00:00.000Z,40
momentum,SOL,2026-06-01T00:00:00.000Z,40
momentum,SOL,2026-06-02T00:00:00.000Z,40
momentum,SOL,2026-06-03T00:00:00.000Z,40
momentum,SOL,2026-06-04T00:00:00.000Z,40
momentum,SOL,2026-06-05T00:00:00.000Z,40
momentum,SOL,2026-06-06T00:00:00.000Z,40
momentum,SOL,2026-06-07T00:00:00.000Z,40
momentum,SOL,2026-06-08T00:00:00.000Z,40
momentum,SOL,2026-06-09T00:00:00.000Z,39.5018
momentum,SOL,2026-06-10T00:00:00.000Z,39.0123
momentum,SOL,2026-06-11T00:00:00.000Z,40.0074
momentum,SOL,2026-06-12T00:00:00.000Z,39.9876
momentum,SOL,2026-06-13T00:00:00.000Z,40.5647
momentum,SOL,2026-06-14T00:00:00.000Z,41.188
momentum,SOL,2026-06-15T00:00:00.000Z,41.9526
momentum,SOL,2026-06-16T00:00:00.000Z,41.7989
momentum,SOL,2026-06-17T00:00:00.000Z,41.3959
momentum,SOL,2026-06-18T00:00:00.000Z,40.5644
rs_continuation,XRP,2026-05-20T00:00:00.000Z,40
rs_continuation,XRP,2026-05-21T00:00:00.000Z,40
rs_continuation,XRP,2026-05-22T00:00:00.000Z,40
rs_continuation,XRP,2026-05-23T00:00:00.000Z,40
rs_continuation,XRP,2026-05-24T00:00:00.000Z,40
rs_continuation,XRP,2026-05-25T00:00:00.000Z,40
rs_continuation,XRP,2026-05-26T00:00:00.000Z,40
rs_continuation,XRP,2026-05-27T00:00:00.000Z,40
rs_continuation,XRP,2026-05-28T00:00:00.000Z,40
rs_continuation,XRP,2026-05-29T00:00:00.000Z,40
rs_continuation,XRP,2026-05-30T00:00:00.000Z,40
rs_continuation,XRP,2026-05-31T00:00:00.000Z,40
rs_continuation,XRP,2026-06-01T00:00:00.000Z,40
rs_continuation,XRP,2026-06-02T00:00:00.000Z,40
